"camis","dba","boro","building","street","zipcode","phone","cuisine_description","inspection_date","action","violation_code","violation_description","critical_flag","score","grade","grade_date","record_date","inspection_type","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","location"
"50134842","THE MIGRANT KITCHEN","Manhattan","1802","E 65 ST",,"9174824644",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"0","0",,,,,"1",,
"50173648","SUSHI DOKORO MEKUMI","Manhattan","70","CHARLTON STREET","10014","2129251613",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.727239355189","-74.006559232767","102","03","003700","1090545","1005800011","MN24","POINT (-74.006559232767 40.727239355189)"
"50174755","WENDYS","Manhattan","111","FULTON STREET","10038","7186197481",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.709741446444","-74.006791958532","101","01","001501","1001263","1000917502","MN25","POINT (-74.006791958532 40.709741446444)"
"50171783","THE MORGAN","Brooklyn","2","KNICKERBOCKER AVENUE","11237","9175602894",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.707679371791","-73.931992345105","301","34","045300","3070605","3029910005","BK77","POINT (-73.931992345105 40.707679371791)"
"50182694","Ool Holdings LLC","Manhattan","178","SPRING STREET","10012","6096104773",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.724788439974","-74.002464131233","102","01","004700","1007329","1004880016","MN24","POINT (-74.002464131233 40.724788439974)"
"50128172","SILO","Brooklyn","90","SCOTT AVENUE","11237","6507765672",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.710426665108","-73.92296114393","301","34","044900","3325603","3029790064","BK90","POINT (-73.92296114393 40.710426665108)"
"50178951","MICHAEL KORS","0","610","5TH AVE","69361","2015148194",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,,,,,,,,,
"50168743","QINGYUN INC","Manhattan","367","WEST   36 STREET","10018","2014235900",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.754228654731","-73.994279091073","104","03","011100","1082264","1007600001","MN13","POINT (-73.994279091073 40.754228654731)"
"50179022","3 IN 1 PHENOMENAL KITCHEN CORP.","Queens","19-33","MOTT AVENUE","11691","9294346708",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.603928815289","-73.752345346048","414","31","101001","4298263","4155610029","QN15","POINT (-73.752345346048 40.603928815289)"
"50176383","SWEET LITTLE GEM","Brooklyn","295","KNICKERBOCKER AVENUE","11237","3472947931",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.701811270892","-73.923623925376","304","34","042900","3342227","3032200005","BK77","POINT (-73.923623925376 40.701811270892)"
